戸籍 こせき
告白 こくはく
雫 しずく
謙る へりくだる
冴える さえる
懐く なつく
滞る とどこおる
年輪 ねんりん
至って いたって
遂げる とげる
長閑 のどか
問い合わせる といあわせる
工学 こうがく
獲物 えもの
規模 きぼ
一頃 ひところ
真ん前 まんまえ
恋愛 れんあい
消息 しょうそく
観点 かんてん
元来 がんらい
土手 どて
開発 かいはつ
問う とう
輪 りん
明瞭 めいりょう
仲人 ちゅうにん
遣い つかい
代 しろ
異論 いろん
交える まじえる
楽しむ たのしむ
控除 こうじょ
寝かせる ねかせる
出鱈目 でたらめ
挑戦 ちょうせん
箇条書き かじょうがき
突破 とっぱ
心得 こころえ
果たして はたして
敬具 けいぐ
火燵 こたつ
部門 ぶもん
充実 じゅうじつ
各々 それぞれ
産後 さんご
捲る まくる
肺 はい
逃れる のがれる
国防 こくぼう
納まる おさまる
丈 たけ
警戒 けいかい
防衛 ぼうえい
云々 うんぬん
舗装 ほそう
月謝 げっしゃ
驚異 きょうい
負う おう
依 い
文書 ぶんしょ
語彙 ごい
発芽 はつが
味覚 みかく
裾 すそ
出費 しゅっぴ
他人 あだびと
貧弱 ひんじゃく
個 か
日頃 ひごろ
何となく なんとなく
日夜 にちや
恵み めぐみ
無茶 むちゃ
公 おおやけ
徐行 じょこう
愛想 あいそ
大方 おおかた
制定 せいてい
規範 きはん
先代 せんだい
差し出す さしだす
眉 まゆ
引き上げる ひきあげる
余所見 よそみ
腿 もも
築く きずく
禁じる きんじる
発病 はつびょう
尉 じょう
腫れる はれる
運用 うんよう
発生 はっせい
昇進 しょうしん
持てる もてる
綻びる ほころびる
聳える そびえる
詰る なじる
接ぐ つぐ
加入 かにゅう
処罰 しょばつ
御 ご
誠 まこと
歓声 かんせい
来場 らいじょう
手引き てびき
情け深い なさけぶかい
研ぐ とぐ
農地 のうち
幽霊 ゆうれい
箪笥 たんす
比率 ひりつ
補足 ほそく
無効 むこう
強制 きょうせい
嘸 さぞ
修行 しゅうぎょう
口頭 こうとう
痒い かゆい
電線 でんせん
励む はげむ
英字 えいじ
持続 じぞく
重んずる おもんずる
円満 えんまん
冷酷 れいこく
生身 なまみ
強請る ねだる
志 こころざし
肥料 ひりょう
曖昧 あいまい
特技 とくぎ
馬鹿馬鹿しい ばかばかしい
鈍る なまる
商人 あきうど
境遇 きょうぐう
お八 おやつ
日焼け ひやけ
刃 は
予想 よそう
何も なにも
結び むすび
勤務 きんむ
着飾る きかざる
長官 ちょうかん
出品 しゅっぴん
老ける ふける
傲る おごる
到底 とうてい
再 さい
憂鬱 ゆううつ
描写 びょうしゃ
受け入れ うけいれ
其れでは それでは
傑 けつ
脆い もろい
視察 しさつ
未定 みてい
戯曲 ぎきょく
契る ちぎる
合間 あいま
重なる おもなる
側面 そくめん
鮮やか あざやか
産休 さんきゅう
分散 ぶんさん
蜜 みつ
冷淡 れいたん
上下 うえした
刺 とげ
首輪 くびわ
遭難 そうなん
単 ひとえ
着工 ちゃっこう
似通う にかよう
押さえる おさえる
先だって せんだって
毎 ごと
召す めす
合成 ごうせい
勤勉 きんべん
お洒落 おしゃれ
貶す けなす
日の丸 ひのまる
誠実 せいじつ
転居 てんきょ
中継 ちゅうけい
好況 こうきょう
飲み込む のみこむ
仕様 しよう
新婚 しんこん
支持 しじ
気配 きはい
占領 せんりょう
拘束 こうそく
天地 あめつち
犯す おかす
出合う であう
団結 だんけつ
権威 けんい
始めまして はじめまして
購買 こうばい
概説 がいせつ
動向 どうこう
引き受ける ひきうける
報酬 ほうしゅう
煙草 たばこ
待望 たいぼう
噴出 ふんしゅつ
窒息 ちっそく
手遅れ ておくれ
衛生 えいせい
入口 いりくち
固体 こたい
確立 かくりつ
暴露 ばくろ
頻繁 ひんぱん
掛け かけ
必修 ひっしゅう
殿 しんがり
逃げ出す にげだす
交わる まじわる
悪 あく
夕暮れ ゆうぐれ
神秘 しんぴ
捜査 そうさ
私 あたし
耐える たえる
大事 おおごと
兆し きざし
介入 かいにゅう
業績 ぎょうせき
品種 ひんしゅ
ご馳走さま ごちそうさま
填まる はまる
自信 じしん
丁々 とうとう
科 か
御免ください ごめんください
転落 てんらく
志す こころざす
倹約 けんやく
軌道 きどう
薄弱 はくじゃく
周 しゅう
不意 ふい
絶つ たつ
好ましい このましい
知性 ちせい
愚痴 ぐち
打開 だかい
何時も いつも
この頃 このごろ
名高い なだかい
世帯 せたい
如何にも いかにも
団扇 うちわ
気品 きひん
相場 そうば
結び付き むすびつき
応募 おうぼ
久し振り ひさしぶり
寄り掛かる よりかかる
痺れる しびれる
雑木 ざつぼく
埋蔵 まいぞう
沈める しずめる
暴動 ぼうどう
悩ましい なやましい
冊 さつ
判決 はんけつ
著 ちゃく
誘導 ゆうどう
駆ける かける
落ちる おちる
津波 つなみ
諸君 しょくん
反 たん
余り あんまり
相変わらず あいかわらず
統治 とうじ
公開 こうかい
文化財 ぶんかざい
下火 したび
未練 みれん
概念 がいねん
原子 げんし
利根 りこん
お喋り おしゃべり
立ち寄る たちよる
叫び さけび
家来 けらい
合わせ あわせ
不振 ふしん
出産 しゅっさん
迫害 はくがい
照合 しょうごう
協会 きょうかい
粘り ねばり
碁盤 ごばん
干し物 ほしもの
捕らえる とらえる
微笑 びしょう
相応しい ふさわしい
耕作 こうさく
重 え
領域 りょういき
然も さも
恵む めぐむ
見せびらかす みせびらかす
軒並み のきなみ
腕前 うでまえ
票 ひょう
悪口 あっこう
実 じつ
丘陵 きゅうりょう
改修 かいしゅう
証拠 しょうこ
自覚 じかく
堂々 どうどう
密度 みつど
早める はやめる
社交 しゃこう
受け取り うけとり
起こす おこす
残高 ざんだか
水気 すいき
静的 せいてき
財源 ざいげん
味わい あじわい
着席 ちゃくせき
不順 ふじゅん
幕 とばり
金庫 かねぐら
張り紙 はりがみ
灰 あく
迅速 じんそく
細胞 さいぼう
延べ のべ
事柄 ことがら
増し まし
産物 さんぶつ
強める つよめる
宣教 せんきょう
来る きたる
農場 のうじょう
一寸 ちょっと
様 さま
無邪気 むじゃき
庶民 しょみん
首脳 しゅのう
柔軟 じゅうなん
其れでも それでも
原爆 げんばく
定年 ていねん
良心 りょうしん
くっ付く くっつく
蝶 ちょう
健やか すこやか
公用 こうよう
畜産 ちくさん
対比 たいひ
何処 どこ
凭れる もたれる
申し入れる もうしいれる
尾 お
仕える つかえる
厭やらしい いやらしい
割り当て わりあて
類似 るいじ
御覧なさい ごらんなさい
即ち すなわち
還暦 かんれき
其方 そちら
紛れる まぎれる
捻じれる ねじれる
点線 てんせん
焚火 たきび
六 む
禁ずる きんずる
記述 きじゅつ
伝達 でんたつ
了承 りょうしょう
炭素 たんそ
終日 しゅうじつ
すれ違う すれちがう
弛み たるみ
阻止 そし
見っともない みっともない
処置 しょち
上空 じょうくう
客観 きゃっかん
学歴 がくれき
矢鱈に やたらに
悩み なやみ
捕吏 ほり
人質 ひとじち
派遣 はけん
庶務 しょむ
業務 ぎょうむ
個性 こせい
窮屈 きゅうくつ
極端 きょくたん
規格 きかく
土台 どだい
進行 しんこう
投資 とうし
貯蓄 ちょちく
固定 こてい
奇数 きすう
年長 ねんちょう
演出 えんしゅつ
美 び
林業 りんぎょう
果てる はてる
頃 けい
割 かつ
不評 ふひょう
還元 かんげん
授ける さずける
提示 ていじ
無難 ぶなん
早急 さっきゅう
審判 しんばん
其処 そこ
指揮 しき
一日 いちじつ
取っ手 とって
和らげる やわらげる
結成 けっせい
脳 のう
色々 いろいろ
俺 おれ
模倣 もほう
嘘つき うそつき
何方 どちら
青春 せいしゅん
手本 てほん
投げ出す なげだす
事業 じぎょう
時折 ときおり
白状 はくじょう
洒落る しゃれる
此の この
制 せい
証 あかし
先着 せんちゃく
じゃん拳 じゃんけん
疾っくに とっくに
渦 うず
照明 しょうめい
如何して どうして
微量 びりょう
省みる かえりみる
如何に いかに
整列 せいれつ
悲惨 ひさん
尊い たっとい
伝来 でんらい
持ち切り もちきり
洋風 ようふう
瞑る つぶる
壷 つぼ
円滑 えんかつ
値 あたい
全快 ぜんかい
不可欠 ふかけつ
畳 じょう
座標 ざひょう
伜 せがれ
甘える あまえる
保障 ほしょう
国有 こくゆう
優先 ゆうせん
跡継ぎ あとつぎ
班 はん
ご座います ございます
可愛らしい かわいらしい
祝賀 しゅくが
不便 ふびん
慣例 かんれい
信者 しんじゃ
権限 けんげん
泊 はく
何処か どこか
不動産 ふどうさん
映像 えいぞう
決断 けつだん
専用 せんよう
水田 すいでん
主催 しゅさい
刊行 かんこう
漏れる もれる
脅す おどす
冷やかす ひやかす
